Case Name,Filing Year,Description,Case Categories,Principal Laws
Duryea v. Rhode Island Department of Environmental Management,2018,Lawsuit challenging the Rhode Island Department of Environmental Management’s 2018 denial of a petition requesting that the agency initiate rulemaking to address climate change.,State Law Claims>Environmentalist Lawsuits,Rhode Island Administrative Procedures Act
Friends of Rose Creek v. City of San Diego,2019,Challenge to the City of San Diego's approval of specific plan for approximately 210 acres that was intended to provide a framework for transit-oriented development in the affected neighborhood.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Wildgrass Oil &amp; Gas Committee v. Colorado Oil &amp; Gas Conservation Commission,2019,Lawsuit seeking to stay oil and gas permitting until Colorado Oil and Gas Conservation Commission promulgates amendments to implement SB 19-181.,State Law Claims>Environmentalist Lawsuits,State Law—Miscellaneous Statutes>Colorado Oil and Gas Conservation Act
Protect Our Communities Foundation v. U.S. Department of Agriculture,2011,Challenge to transmission line project.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Federal Land Policy and Management Act (FLPMA)|National Forest Management Act (NFMA)|Administrative Procedure Act (APA)
"Sound Rivers, Inc. v. U.S. Fish &amp; Wildlife Service",2018,"Challenge to highway through Piedmont North Carolina, including for failure to analyze greenhouse gas emissions and climate change and new federal rule ""freezing"" CAFE standards.",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Center for Environmental Law &amp; Policy v. State of Washington,2016,"Challenge to an instream flow rule for the Spokane River, which petitioners alleged was experiencing a ""low flow trend"" due to climate change and other factors.",State Law Claims>Environmentalist Lawsuits|Adaptation>Actions seeking adaptation measures,Public Trust Doctrine|State Constitutions>Washington State Constitution|State Law—Miscellaneous Statutes>Washington Administrative Procedure Act|State Law—Miscellaneous Statutes>Washington Uniform Declaratory Judgment Act|State Law—Miscellaneous Statutes>Washington Water Resources Act of 1971|State Law—Miscellaneous Statutes>Washington Minimum Water Flows and Levels Act|State Law—Miscellaneous Statutes>Washington Water Code|State Law—Miscellaneous Statutes>Washington Watershed Planning Act|State Law—Miscellaneous Statutes>Washington Regulation of Public Groundwaters Law|State Law—Miscellaneous Statutes>Washington Water Resource Management Law|State Law—Miscellaneous Statutes>Washington Water Well Construction Law
Hoopa Valley Tribe v. Ross,2018,"Lawsuit to compel the re-initiation of Section 7 consultation regarding impacts of ocean salmon fisheries on Southern Oregon/Northern California Coastal coho based on new developments and information since 1999, including climate change information.",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
Advanced Biofuels Association v. EPA,2018,Challenge to purported modification of criteria for granting small refinery exemptions in the Renewable Fuel Program.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Clean Air Act (CAA)|Energy Independence and Security Act (EISA)|Energy Policy Act of 2005|Administrative Procedure Act (APA)
"United States v. Hercules, LLC",2018,Action seeking to hold chemical manufacturer liable for the costs of remediating a Superfund site located on the Georgia coast.,Adaptation>Actions seeking adaptation measures,"Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA)"
E&amp;B Natural Resources Management Corp. v. County of Alameda,2018,Lawsuit challenging Alameda County’s decision not to renew conditional use permits for continued operation of an oil extraction and production facility in the City of Livermore.,Constitutional Claims>Fifth Amendment|Constitutional Claims>Fourteenth Amendment,Fifth Amendment—Takings|State Constitutions>California Constitution|Fourteenth Amendment—Equal Protection|Fourteenth Amendment—Due Process|Inverse Condemnation|Vested Rights Doctrine|State Law—Miscellaneous Statutes>California Code of Civil Procedure
Citizens for Positive Growth &amp; Preservation v. City of Sacramento,2015,Challenge to the City of Sacramento's approval and adoption of a 2035 General Plan.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)|State Law—Land Use Laws>California Planning and Zoning Law
Mayer-Wittmann v. Zoning Board of Appeals of the City of Stamford,2016,"Neighbor's lawsuit challenging variances granted for the rebuilding of a ""sea cottage"" damaged during Hurricane Sandy.",Adaptation>Challenges to adaptation measures,State Constitutions>Connecticut State Constitution|State Law—Land Use Laws>Connecticut Zoning Laws
New York v. U.S. Department of Energy,2019,Challenge to the U.S. Department of Energy's withdrawal of a final rule adopted in January 2017 expanding the types of lightbulbs subject to backstop energy conservation standards set to take effect in 2020.,Federal Statutory Claims>Other Statutes and Regulations,Energy Policy and Conservation Act (EPCA)|Energy Independence and Security Act (EISA)
Natural Resources Defense Council v. U.S. Department of Energy,2019,Challenge to the U.S. Department of Energy's withdrawal of a final rule adopted in January 2017 expanding the types of lightbulbs subject to backstop energy conservation standards set to take effect in 2020.,Federal Statutory Claims>Other Statutes and Regulations,Energy Policy and Conservation Act (EPCA)|Energy Independence and Security Act (EISA)
Center for Biological Diversity v. EPA,2019,Challenge to Safe Drinking Water Act exemption that would allegedly allow injection of oil and gas wastewater and other fluids in oil field in San Luis Obispo County in California.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
California Restaurant Association v. City of Berkeley,2019,Challenge to a City of Berkeley ordinance banning natural gas infrastructure in new buildings.,Constitutional Claims>Other Constitutional Claims|Federal Statutory Claims>Other Statutes and Regulations,Energy Policy and Conservation Act (EPCA)|Supremacy Clause|State Constitutions>California Constitution|State Law—Miscellaneous Statutes>California Energy Code|State Law—Miscellaneous Statutes>California Building Standards Code
Montana Environmental Information Center v. Haaland,2019,Challenge to federal approval of expansion of a coal strip-mine in Montana.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Save the Bull Trout v. Williams,2019,Challenge to the Bull Trout Recovery Plan approved by the U.S. Fish and Wildlife Service in 2015.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Klamath-Siskiyou Wildlands Center v. U.S. Bureau of Land Management,2019,Challenge to the U.S. Bureau of Land Management’s approval of the first project prepared by the Lakeview District in the Klamath Falls Resource Area in Oregon under a 2016 resource management plan.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
WildEarth Guardians v. Haaland,2019,Challenge to the U.S. Fish and Wildlife Service's decision not to list the Joshua tree as a threatened species.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
Energy Policy Advocates v. U.S. Department of State,2019,Freedom of Information Act lawsuit seeking records from the U.S. Department of State concerning its analysis of whether the 2015 Paris Agreement constituted a treaty.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Freedom of Information Act (FOIA)
Environmental Defense Fund v. U.S. Department of the Interior,2019,Freedom of Information Act lawsuit seeking records related to establishment of a White House panel to review climate science.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Freedom of Information Act (FOIA)
Freedom to Drive Inc. v. Colorado Air Quality Control Commission,2019,Challenge to the Colorado Air Quality Control Commission's adoption of a modified version of the California Zero Emission Vehicle program.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>State and Municipal Vehicle Standards,Clean Air Act (CAA)|Energy Policy and Conservation Act (EPCA)|State Law—Miscellaneous Statutes>Colorado Air Pollution Prevention and Control Act|State Law—Miscellaneous Statutes>Colorado Administrative Procedure Act
Racing Enthusiasts and Suppliers Coalition v. EPA,2016,Challenge to greenhouse gas emissions and fuel efficiency standards for medium- and heavy-duty engines and vehicles.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Federal Vehicle Standards,Clean Air Act (CAA)|Energy Independence and Security Act (EISA)
Protect Our Ala Wai Watersheds v. Miyahira,2019,Challenge to funding for flood management project along the Ala Wai Canal.,State Law Claims>State Impact Assessment Laws,Hawaii Environmental Policy Act
Lindstrom v. California Coastal Commission,2016,Property owners' challenge to conditions placed by the California Coastal Commission on conditions for development of residence on oceanside bluff.,Adaptation>Challenges to adaptation measures,State Law—Miscellaneous Statutes>California Coastal Act of 1976
Harrison County v. Mississippi River Commission,2019,Lawsuit asserting that U.S. Army Corps of Engineers and Mississippi River Commission failed to consider and mitigate impacts of opening of spillway on Mississippi River on coastal communities and resources.,Federal Statutory Claims>NEPA|Adaptation>Actions seeking adaptation measures,National Environmental Policy Act (NEPA)|Magnuson-Stevens Act
Watson v. U.S. Army Corps of Engineers,2019,Lawsuit alleging that opening of spillway on Mississippi occurred without sufficient consideration of environmental impacts to the Mississippi Sound and Mississippi Public Trust.,Federal Statutory Claims>NEPA|Adaptation>Actions seeking adaptation measures,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Tosdal v. NorthWestern Corp.,2019,Lawsuit seeking to bar the defendant from excluding the plaintiff's shareholder proposal requesting that the defendant cease coal-fired power generation.,Securities and Financial Regulation,Securities Act of 1933/Securities Exchange Act of 1934
Farm Sanctuary v. U.S. Department of Agriculture,2019,"Lawsuit challenging the U.S. Department of Agriculture’s final rule establishing an optional new inspection system for hog slaughter establishments, including the failure to consider the rule's environmental impacts.",Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)|Federal Meat Inspection Act|Humane Methods of Slaughter Act
Columbia Riverkeeper v. U.S. Army Corps of Engineers,2019,Challenge to U.S. Corps of Engineers issuance of a Section 404 permit for a maritime export terminal associated with a proposed methanol facility in Washington on the Columbia River.,Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Clean Water Act (CWA)|Administrative Procedure Act (APA)
Citizens Committee to Complete the Refuge v. City of Newark,2019,Lawsuit challenging environmental review for shoreline residential development.,Adaptation>Reverse Impact Assessment|State Law Claims>State Impact Assessment Laws|Adaptation>Actions seeking adaptation measures,California Environmental Quality Act (CEQA)
"HollyFrontier Cheyenne Refining, LLC v. Renewable Fuels Association",2018,Challenge to EPA orders granting three petitions for extensions of small refinery exemptions from renewable fuel standards.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Clean Air Act (CAA)|Energy Independence and Security Act (EISA)|Energy Policy Act of 2005
Roemer v. Williams,2019,"Lawsuit seeking to compel a community college president to require distribution of plaintiff's position paper referring to political movements to reduce fossil fuel use as ""malicious hoax.""",Climate Change Protesters and Scientists>Protesters,First Amendment
Environmental Council of Sacramento v. County of Sacramento,2013,Challenge to approvals for a large master-planned community in Sacramento County that included residential and commercial uses and a university campus.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)|State Law—Miscellaneous Statutes>Sustainable Communities and Climate Protection Act of 2008 (SB 375)
Golden State Environmental Justice Alliance v. City of Los Angeles,2017,Lawsuit challenging environmental review for a 34-story building in Los Angeles.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Richardson v. Clarno,2020,Challenge to Oregon Secretary of State's rejection of two clean energy ballot measures.,State Law Claims>Environmentalist Lawsuits,State Law—Miscellaneous Statutes>Oregon Elections Law|State Constitutions>Oregon Constitution
Montana v. Washington,2020,Bill of complaint in the U.S. Supreme Court by Montana and Wyoming asserting that the State of Washington unconstitutionally blocked the use of its ports for shipments of coal mined in Montana and Wyoming.,Constitutional Claims>Commerce Clause,Commerce Clause|Foreign Commerce Clause
Center for Biological Diversity v. U.S. Army Corps of Engineers,2020,Challenge to Section 404 permit for new petrochemical plant on the Mississippi River in Louisiana.,Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|National Historic Preservation Act (NHPA)|Clean Water Act (CWA)|Rivers and Harbors Act|Administrative Procedure Act (APA)
Center for Biological Diversity v. U.S. Bureau of Land Management,2020,Lawsuit challenging the supplemental environmental impact statement prepared by the U.S. Bureau of Land Management for a resource management plan allowing hydraulic fracturing on federal lands in California.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Gallaher v. City of Santa Rosa,2020,Challenge to City of Santa Rosa law restricting natural gas appliances in new homes.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
WildEarth Guardians v. Haaland,2020,Lawsuit challenging approval of oil and gas leases in five western states.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Center for Biological Diversity v. Bernhardt,2020,Lawsuit challenging failure to designate critical habitat for distinct population segments of green sea turtles.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. County of Kern,2020,"Challenges to approvals of a project in California that would include 12,000 dwelling units, up to 5.1 million square feet of commercial land uses, and a development footprint of 4,643 acres.",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Newberry Community Services District v. County of San Bernardino,2020,"Challenge to authorizations for a solar power generating facility across 3,500 acres in California.",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
"First Parish in Bedford, Unitarian Universalist v. Historic District Commission of Town of Bedford",2016,Challenge by church to town's denial of application for certificate of appropriateness allowing installation of solar panels on the church's meetinghouse.,Constitutional Claims>First Amendment,First Amendment|State Constitutions>Massachusetts Constitution|State Law—Miscellaneous Statutes>Massachusetts Chapter 118 of Acts of 1964 (Creating Bedford Historic District Commission)
Gameros v. City of San Diego,2019,Challenge to City of San Diego's ordinance banning distribution of polystyrene foam food containers.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Gwich'in Steering Committee v. U.S. Department of the Interior,2019,Freedom of Information Act lawsuit seeking documents in response to nine requests for federal agencies' records related to implementation of an oil and gas leasing program on the Coastal Plain of the Arctic National Wildlife Refuge.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Freedom of Information Act (FOIA)
Cook Inletkeeper v. Ross,2019,Challenge to incidental take regulations authorizing take of 11 species of marine mammals in connection with oil and gas exploration and development activities.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Marine Mammal Protection Act (MMPA)
Center for Biological Diversity v. Zinke,2016,"Lawsuit to compel the U.S. Fish and Wildlife Service to make determinations regarding the status of nine species under the Endangered Species Act, including species threatened by climate change.",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
State v. Butler,2019,Criminal case against against climate activists charged with criminal trespass in connection with their protest that involved laying dirt and straw over railroad tracks used by an energy company.,Climate Change Protesters and Scientists>Protesters,Necessity/Justification Defense|State Law—Trespass
"Millennium Bulk Terminals Longview, LLC v. Washington State Department of Ecology",2017,Lawsuit by coal export terminal developer seeking to compel production of documents related to the Department of Ecology's analysis of greenhouse gas emissions.,State Law Claims>Freedom of Information/Public Records,State Law—Miscellaneous Statutes>Washington Public Records Act
RFS Power Coalition v. EPA,2020,Challenge to EPA’s final rule setting 2020 volume requirements for renewable fuel production in the Renewable Fuel Standard Program.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Clean Air Act (CAA)|Energy Independence and Security Act (EISA)|Energy Policy Act of 2005
Natural Resources Defense Council v. U.S. Department of Energy,2020,Challenge to the U.S. Department of Energy’s December 2019 final rule concerning energy conservation standards for general service incandescent lamps.,Federal Statutory Claims>Other Statutes and Regulations,Energy Policy and Conservation Act (EPCA)|Energy Independence and Security Act (EISA)
New York v. U.S. Department of Energy,2020,Challenge to U.S. Department of Energy’s December 2019 final rule concerning energy conservation standards for general service incandescent lamps. ,Federal Statutory Claims>Other Statutes and Regulations,Energy Policy and Conservation Act (EPCA)
Vecinos para el Bienestar de la Comunidad Costera v. Federal Energy Regulatory Commission,2020,Challenge to Federal Energy Regulatory Commission authorization of liquefied natural gas terminal on the Gulf Coast and a related pipeline system.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Natural Gas Act
Center for Community Action &amp; Environmental Justice v. Federal Aviation Administration,2020,Challenge to the Federal Aviation Administration's environmental review for an air cargo facility in southern California.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
California Natural Resources Agency v. Ross,2019,Challenge to biological opinions for long-term operations of two major water diversion projects in California.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Center for Biological Diversity v. Bernhardt,2020,Lawsuit challenging federal defendants’ failures to take actions to protect the endangered New Mexico meadow jumping mouse.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>Other Statutes and Regulations,Endangered Species Act (ESA)|National Forest Management Act (NFMA)
Southern Environmental Law Center v. Council on Environmental Quality,2018,Freedom of Information Act lawsuit seeking to compel disclosure by the Council on Environmental Quality of records related to its advance notice of proposed rulemaking for amendments to the National Environmental Policy Act.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Freedom of Information Act (FOIA)
Missouri v. U.S. Department of the Interior–Bureau of Reclamation,2020,Challenge to federal defendants' environmental review for the the Central North Dakota Water Supply Project.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
"Clean Wisconsin, Inc. v. Public Service Commission",2020,Challenge to the Wisconsin Public Service Commission’s decision approving a Certificate of Public Convenience and Necessity (CPCN) for a proposed 625-megawatt natural gas-powered generating facility.,State Law Claims>Environmentalist Lawsuits|State Law Claims>State Impact Assessment Laws,State Law—Miscellaneous Statutes>Wisconsin CPCN Law|State Law—Miscellaneous Statutes>Wisconsin Energy Priorities Law|State Law—Miscellaneous Statutes>Wisconsin Environmental Policy Act
East River Park Action v. City of New York,2020,Lawsuit challenging New York City’s approval of a resiliency plan for the Lower East Side that involved elevating an existing park on the East River by eight feet to serve as a barrier to coastal storms and flooding.,Adaptation>Challenges to adaptation measures,Public Trust Doctrine
California Chaparral Institute v. Board of Forestry &amp; Fire Protection,2020,"Challenge to California Vegetation Treatment Program, a component of California's plan to reduce wildfire risk.",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)|State Law—Miscellaneous Statutes>California Public Resources Code
"NextEra Energy Resources, LLC v. Maine Public Utilities Commission",2019,Challenge to certificate of public convenience and necessity for the New England Clean Energy Connect project.,State Law Claims>Utility Regulation,State Law—Miscellaneous Statutes>Maine Public Utilities Law|State Law—Miscellaneous Statutes>Maine Solar Energy Act|State Law—Miscellaneous Statutes>Maine Wind Energy Act
Shrimpers and Fishermen of the RGV v. U.S. Army Corps of Engineers,2020,Challenge to Section 404 permit for liquefied natural gas terminal in Texas.,Federal Statutory Claims>Clean Water Act,Clean Water Act (CWA)
Vecinos para el Bienestar de la Comunidad Costera v. Federal Energy Regulatory Commission,2020,Challenge to FERC authorizations of liquefied natural gas terminals in Texas.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Natural Gas Act
Buffalo Field Campaign v. Williams,2020,Challenge to denial of request for status review of distinct population segment of Yellowstone bison.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
Center for Biological Diversity v. Bernhardt,2020,Lawsuit to compel the U.S. Fish and Wildlife Service to make a final determination on the proposed listing of the eastern black rail.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. Bernhardt,2020,Lawsuit to compel a final listing determination on the distinct population segment of the North American wolverine.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
Center for Biological Diversity v. Bernhardt,2020,Challenge to biological opinions issued in connection with groundwater pumping by a U.S. Army base in southeastern Arizona.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
City &amp; County of Honolulu v. Sunoco LP,2020,Lawsuit seeking damages and other relief from fossil fuel companies for alleged conduct that the City and County of Honolulu contends actually and proximately caused climate change impacts.,Adaptation>Actions seeking money damages for losses|Common Law Claims,State Law—Nuisance|State Law—Negligence|State Law—Trespass|State Law–Strict Liability
Levin Richmond Terminal Corp. v. City of Richmond,2020,Challenge to City of Richmond ordinance that prohibited transloading and export of coal and petroleum coke.,Constitutional Claims>Commerce Clause|Constitutional Claims>Fourteenth Amendment|Constitutional Claims>Other Constitutional Claims|Federal Statutory Claims>Other Statutes and Regulations,Fifth Amendment—Takings|Commerce Clause|State Constitutions>California Constitution|Interstate Commerce Commission Termination Act of 1995 (ICCTA)|Fourteenth Amendment—Equal Protection|Fourteenth Amendment—Due Process|Hazardous Materials Transportation Act|Shipping Act of 1984|Contracts Clause
Held v. State,2020,Lawsuit seeking declaration of right under the Montana constitution to a stable climate system and to compel Montana to prepare and implement a remedial plan to reduce greenhouse gas emissions.,State Law Claims>Environmentalist Lawsuits|Public Trust Claims,Public Trust Doctrine|Montana Environmental Policy Act|State Constitutions>Montana Constitution|State Law—Miscellaneous Statutes>Montana State Energy Policy
City of Helena v. McKinlay,2012,Prosecution of citations of 23 citations for criminal trespass with protests at Montana State Capitol.,Climate Change Protesters and Scientists>Protesters,First Amendment|Necessity/Justification Defense
Hurst v. Rosenblum,2020,Challenge to the drafting of a ballot title that would amend Oregon law to establish a greenhouse gas emissions reduction mandate.,State Law Claims>Other Types of State Law Cases,State Law—Miscellaneous Statutes>Oregon Elections Law
"In re Westar Energy, Inc.",2018,Challenge to Kansas Corporation Commission's approval of rate increase that charged residential customers with distributed renewable energy sources more for electricity.,State Law Claims>Utility Regulation,State Law—Miscellaneous Statutes>Kansas Public Utilities Law
Competitive Enterprise Institute v. National Highway Traffic Safety Administration,2020,Challenge to the Trump administration's amendment of greenhouse gas and fuel economy standards for passenger cars and light trucks.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Federal Vehicle Standards,Clean Air Act (CAA)|Energy Policy and Conservation Act (EPCA)|Administrative Procedure Act (APA)
Food &amp; Water Watch v. Federal Energy Regulatory Commission,2020,"Challenge to Federal Energy Regulatory Commission authorization of construction and operation of the 261 Upgrade Project, a set of projects in southern Massachusetts to increase transportation capacity on the existing Tennessee Gas Pipeline system.",Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Natural Gas Act
California v. U.S. Department of Energy,2020,Challenge to U.S. Department of Energy’s final rules amending the procedures for new or revised energy conservation standards and test procedures for consumer products and commercial/industrial equipment.,Federal Statutory Claims>Other Statutes and Regulations,Energy Policy and Conservation Act (EPCA)
California v. Wheeler,2020,"Challenge to the Trump administration's amendments to the Clean Water Act's definition of ""waters of the United States.""",Federal Statutory Claims>Clean Water Act,Clean Water Act (CWA)|Administrative Procedure Act (APA)
Conservation Law Foundation v. EPA,2020,"Challenge to the Trump administration's amendments to the Clean Water Act's definition of ""waters of the United States.""",Federal Statutory Claims>Clean Water Act,Clean Water Act (CWA)|Administrative Procedure Act (APA)
Delaware Riverkeeper Network v. U.S. Army Corps of Engineers,2020,Challenge to permits issued by the U.S. Army Corps of Engineers for a docking facility in New Jersey to transport liquefied natural gas (LNG) to docked vessels. ,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits|Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Clean Air Act (CAA)|Clean Water Act (CWA)|Rivers and Harbors Act|Administrative Procedure Act (APA)
WildEarth Guardians v. Haaland,2020,Lawsuit to compel final determinations on petitions to list five aquatic species under the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
Defenders of Wildlife v. U.S. Army Corps of Engineers,2020,Lawsuit alleging that consultation under the Endangered Species Act was required for the ongoing operations of the Bonnet Carré Spillway.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
Sierra Club v. California Department of Water Resources,2020,Challenge to the approval of the Long-Term Operation of the State Water Project.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)|State Law—Miscellaneous Statutes>Sacramento-San Joaquin Delta Reform Act of 2009
Field v. EPA,2020,Pro se plaintiff's lawsuit alleging that EPA restrictions on aerosols caused global warming.,Federal Statutory Claims>Other Statutes and Regulations,Clean Air Act (CAA)
"John R. Lawson Rock &amp; Oil, Inc. v. California Air Resources Board",2019,Challenge to proposed amendments to California's greenhouse gas emissions standards for medium- and heavy-duty engines and vehicles and to the Tractor-Trailer Greenhouse Gas Regulation.,State Law Claims>Industry Lawsuits|State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)|State Law—Miscellaneous Statutes>California Administrative Procedure Act
Environmental Justice Health Alliance for Chemical Policy Reform v. EPA,2019,"Lawsuit to compel EPA to issue regulations requiring chemical facilities to develop plans to prevent, mitigate, and respond to worst-case spill regulations.",Federal Statutory Claims>Clean Water Act,Clean Water Act (CWA)|Administrative Procedure Act (APA)
Conservation Congress v. U.S. Forest Service,2013,Challenge to the environmental review for a fuel-reduction project in Shasta-Trinity National Forest.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Evans v. Federal Energy Regulatory Commission,2020,Challenge to Federal Energy Regulatory Commission orders authorizing the Jordan Cove liquefied natural gas export terminal and related infrastructure.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Natural Gas Act
Center for Biological Diversity v. U.S. Bureau of Reclamation,2020,Lawsuit charging that the conversion of Central Valley Project “renewal contracts” into “permanent repayment contracts” was a major federal action that required compliance with NEPA. ,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
California Air Resources Board v. EPA,2020,Freedom of Information Act lawsuit seeking EPA records supporting determination that CARB’s zero-emission vehicle regulations would not impact emissions of criteria pollutants or interfere with California's attainment of air quality standards.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Freedom of Information Act (FOIA)
Monroe County Board of Commissioners v. U.S. Forest Service,2020,Challenge to the U.S. Forest Service’s approval of a vegetation management and restoration project in the Hoosier National Forest.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|National Forest Management Act (NFMA)|Administrative Procedure Act (APA)
National Wildlife Federation v. U.S. Army Corps of Engineers,2020,Lawsuit asserting that the U.S. Army Corps of Engineers failed to conduct an adequate environmental review for activities intended to maintain a nine-foot deep navigation channel in the Middle Mississippi River Reach of the Mississippi River.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)|Water Resources Development Act|Fish and Wildlife Coordination Act|1927 Rivers and Harbors Act
WildEarth Guardians v. Mountain Coal Co.,2020,Citizen suit asserting that coal mine required air permits.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
AquAlliance v. U.S. Bureau of Reclamation,2020,Challenge to environmental review and approval of a 2019-2024 water transfer program for the sale of water by sellers upstream of the Sacramento-San Joaquin Delta to buyers south of the Delta.,State Law Claims>State Impact Assessment Laws|Federal Statutory Claims>NEPA|Public Trust Claims,National Environmental Policy Act (NEPA)|Public Trust Doctrine|California Environmental Quality Act (CEQA)|Administrative Procedure Act (APA)
