Id,Title,Geography,Geography ISO,Jurisdiction,Citation Reference Number,Responses,At issue,Connected Internal Laws,Connected External Laws,Sectors,Side A,Side B,Side C,Events,Summary
7472,Duarte Agostinho and Others v. Portugal and 32 Other States,International,INT,European Court of Human Rights,"",Mitigation,Youth filed human rights complaint against 33 governments.,"",European Convention on Human Rights|,Other,Youth for Climate Justice|individual_ngo,Austria and 32 other countries|government,"",02/09/2020|Case filed||;04/02/2021|Decision|Court rejected motion |,"On September 2, 2020, six Portuguese youth filed a complaint with the European Court of Human Rights against 33 countries. The complaint alleges that the respondents have violated human rights by failing to take sufficient action on climate change, and seeks an order requiring them to take more ambitious action.&nbsp;<br><br></div><div>The complaint relies on Articles 2, 8, and 14 of the European Convention on Human Rights, which protect the right to life, right to privacy, and right to not experience discrimination. The complainants claim that their right to life is threatened by the effects of climate change in Portugal such as forest fires; that their right to privacy includes their physical and mental wellbeing, which is threatened by heatwaves that force them to spend more time indoors; and that as young people, they stand to experience the worst effects of climate change.&nbsp;<br><br></div><div>The case is brought against the Member States of the EU (Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Germany, Greece, Denmark, Estonia, Finland, France, Croatia, Hungary, Ireland, Italy, Lithuania, Luxembourg, Latvia, Malta, the Netherlands, Poland, Portugal, Romania, Slovak Republic, Slovenia, Spain and Sweden) as well as Norway, Russia, Switzerland, Turkey, Ukraine and the United Kingdom. The complainants allege that the respondents have fallen short of their human rights obligations by failing to agree to emissions reductions that will keep temperature rise to 1.5 degrees Celsius, as envisioned by the Paris Agreement.&nbsp;<br><br></div><div>On November 30, 2020, The European Court of Human Rights fast-tracked and communicated the case to 33 defendant countries, requiring them to respond by the end of February 2021. According to the Global Legal Action Network (GLAN), who are supporting the case, only a tiny minority of cases before the Court are fast-tracked and communicated.&nbsp;<br><br></div><div>On February 4, 2021, the Court rejected a motion by the defendant governments asking the Court to overturn its fast-tracking decision. The governments had asked the court to overturn priority treatment of the case and to hear arguments only on the admissibility of the case. The Court sent a letter to the parties rejecting these motions and gave the defendants until May 27, 2021 to submit a defense on both admissibility and the merits of the case.&nbsp;<br><br></div><div>The Court also granted until May 6, 2021 third party interventions. Among other seven third-party intervention, on May 5, 2021, Amnesty International intervened in the case and submitted her written observations to the European Court of Human Rights. The submission supports the claimants' position, providing legal arguments to the Court to show that international law requires states to not harm, and to not allow companies within their jurisdiction to harm, the human rights of people outside their borders.<br><br></div><div>On May 19, 2021 a new intervention was made by the European Commission submitted her written observations to the European Court of Human Rights. Noting the pronounced impact of environmental degradation and climate change on human rights, the Commissioner argues that international environmental and children’s rights law instruments should play a significant role in defining the scope of states’ obligation to prevent human rights violations caused by environmental harm. The Commission bases its defense of EU policy in the field of environmental protection on sound legal reasoning and science-based evidence. The term ‘climate emergency’ expresses the political will to fulfill the obligations under the Paris Agreement. The Commissioner concludes that “the increasing number of climate change-related applications provide the Court with a unique opportunity to continue to forge the legal path towards a more complete implementation of the Convention and to offer real-life protection to individuals affected by environmental degradation and climate change.”<br><br>On 14 August 2021, the claimants received the respondent governments’ respective defenses. However, on legal advice, the claimants have decided not to make them public. The claimants have until 12 January 2022 to respond to the governments’ defenses.<br><br>On June 30, 2022, the Chamber of the European Court of Human Rights relinquished jurisdiction in favor of the Grand Chamber. The case is now going to be examined by the ECtHR's Grand Chamber of 17 judges on account of the fact that the case raises a serious question affecting the interpretation of the Convention (Art 30 ECHR).<br><br>"
7496,Center for Food and Adequate Living Rights et al. v. Tanzania and Uganda,International,INT,East African Court of Justice,,Mitigation,Whether agreements to build the East African Crude Oil Pipeline violate environmental and human rights impact assessment requirements,The National Environment Act|http://climate-laws.org/geographies/uganda/laws/the-national-environment-act,Ugandan Constitution|https://ulii.org/ug/legislation/consolidated-act/0/;East African Community Treaty|https://www3.nd.edu/~ggoertz/rei/rei200/rei200.02tt1.pdf,Energy,Center for Food and Adequate Living Rights|ngo;Africa Institute for Energy Governance|ngo;Natural Justice|ngo;Center for Strategic Litigation in Tanzania|ngo,Tanzania|government;Uganda|government,"",06/11/2020|Case filed,"On November 6, 2020, four civil society organizations filed a suit against the governments of Tanzania and Uganda in the East African Court of Justice seeking an injunction to stop the East African Crude Oil Pipeline. Plaintiffs allege that the governments, without objection from the Secretary General of the East African Community, who is responsible for oversight of the East African Community Treaty, signed agreements to build the pipeline without proper environmental, social, human rights, and climate impact assessments. The claims arise under Ugandan national law and the East African Community Treaty and its protocols. The civil society organizations are the Center for Food and Adequate Living Rights, the Africa Institute for Energy Governance, Natural Justice, and the Center for Strategic Litigation in Tanzania."
7507,RWE v. Kingdom of the Netherlands,International,INT,International Centre for Settlement of Investment Disputes,ICSID Case No. ARB/21/4,Mitigation,Whether the Netherlands' plan to phase out coal by 2030 violates the Energy Charter Treaty.,"","",Energy,RWE|corporation,Netherlands|government,"",02/02/2021|Filing,"On February 2, 2021, German utility RWE filed suit against the Netherlands government under the Energy Charter Treaty alleging that the government failed to allow adequate time and resources to transition away from coal. The Energy Charter Treaty, signed by 55 Parties, aims to protect foreign investments in energy and allows foreign investors to to claim compensation through arbitration for unfair losses due to government regulation. The Netherlands government plans to phase out all coal-fired power plants by 2030. According to news reports, RWE alleges that this policy does not include adequate compensation to phase out or transition to biomass its coal-fired Eemshaven power plant in the Netherlands."
7510,"Petition to the Inter-American Commission on Human Rights Seeking to Redress Violations of the Rights of Children in Cité Soleil, Haiti",International,INT,Inter-American Commission on Human Rights,,Loss And Damage,"Whether the health harms from trash disposal, exacerbated by climate change, violate Haitian children's human rights.","",American Convention on Human Rights|,Health;Other,Six children of Cité Soleil|individual;Sakala Community Center for Peaceful Alternatives|ngo,Government of Haiti|government,"",04/02/2021|Petition filed,"On February 4, 2021, Haitian children petitioned the Inter-American Commission on Human Rights to redress human rights violations stemming from waste disposal in their residential district. The petition lays out a factual background of toxic trash disposal from Port-Au-Prince in the residential district of Cité Soleil, which causes short and long term health harms most acutely affecting children. The petition includes a discussion of climate change's exacerbation of the harms to children through environmental displacement and exacerbation of waterborne diseases. Petitioners allege violations of the American Convention's Rights of the Child (Article 19), the Right to Dignity (Article 11), the Right to Live in a Healthy Environment (Articles 4, 26), and the Right to Judicial Protection (Article 25). The Commission is expected to first decide whether to assert jurisdiction."
7525,Westmoreland v. Canada,International,INT,International Centre for the Settlement of Investment Disputes,ICSID Case No. UNCT/20/3,Mitigation,Whether a US company had been unlawfully excluded from a compensation scheme designed to protect investors in the Alberta coal industry following plans by Alberta’s provincial government in 2015 to phase out coal-fired power plants in the province by 2030.,"","",Industry,West Moreland Mining|corporation,Government of Canada|government,"",19/11/2018|Notice of Arbitration filed||,"In November 2018 the Mining Company Westmoreland Coal Company submitted a notice of arbitration and statement of claim under Chapter 11 of the North American Free Trade Agreement. In it, the company argued that it was unlawfully excluded from a scheme developed to compensate investors for losses associated with the Alberta government's Climate Leadership Plan, which accelerated the deadline for the phase out of coal power to 2030.&nbsp;<br><br></div><div>The company argued that, as the only US investor in Alberta's coal industry, it was excluded from the compensation scheme while Canadian companies were able to benefit from it. This was a violation of Article 1102 and Article 1105 of NAFTA, which guarantee investors domiciled in member states national treatment and guarantee fair and equitable dealings. The company acknowledged the Government's need to ""enact regulations for the public good"" but argued that they must also behave fairly to foreign investors.&nbsp;<br><br>The Government of Canada argued that there was a material difference between the Canadian companies compensated under the Plan were all operators of coal plants, unlike Westmoreland, which had a mining interest.<br><br></div><div>In January 2022 the arbitral tribunal dismissed the claim. Following the initial filing of the claim by the Westmoreland Coal Company, control of the relevant assets had changed hands during bankruptcy proceedings, and the purchaser, Westmoreland Mining Holdings LLC had sought to continue the claim. The arbitrators concluded that the new entity no longer entitled to pursue the claim, with no substantial discussion of the substantive merits in the matter.&nbsp;"
7526,The PV Investors v. Spain,International,INT,Permanent Court of Arbitration,PCA Case No. 2012-14,Mitigation,Whether a series of energy reforms undertaken by the Government affecting the renewables sector violated the rights of foreign investors under the Energy Charter Treaty.,"",Energy Charter Treaty|,Energy,PV Investors|corporation,Government of Spain|government,"",24/10/2014|Filing;28/02/2020|Final Award,"A group of European investors filed a claim for compensation arising out of a series of energy reforms undertaken by the Spanish Government affecting the renewables sector. The measures, implemented in 2010, introduced a number of changes to a previous regime established in 2007, and included a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers. The investors argued that Spain had breached Article 10(1) of the Energy Charter Treaty, which provides that investors should be provided with stable and fair treatment and freedom from discrimination by encouraging them to invest in the Spanish renewable energy sector on the basis of the 2007 scheme and under the expectation that the scheme would remain in force. The Permanent Court of Arbitration sided with the investors and awarded them $99.8 million USD.&nbsp;<br><br></div><div>The case is one of a number of requests for arbitration brought against Spain in regards to the same policy measures."
7527,Strabag and others v. Germany,International,INT,International Centre for Settlement of Investment Disputes,,Mitigation,"Claims arising out of the Government’s legislative changes to its renewable energy regime, including for offshore wind energy production, which allegedly caused the claimants to abandon their offshore wind projects.","",Energy Charter Treaty|,Energy,Strabag and Others|corporation,Germany|government,"",01/01/2019|Notice of Arbitration,"In 2019, Austrian company Strabag and two affiliates filed a claim under the Energy Charter Treaty related to Germany's administration if its renewable energy regime, including for offshore wind energy production, which allegedly caused the claimants to abandon their offshore wind projects. No further detail about the case has yet been made public."
7528,Rockhopper v. Italy,International,INT,International Centre for Settlement of Investment Disputes,ICSID Case No. ARB/17/14,Disaster Risk Management;Mitigation,Claims arising out of the decision not to award the claimants a production concession following the Government’s re-introduction of a general ban on oil and gas exploration and production activity within the 12 mile limit of the coastline.,Law 221 of 28 december 2015 on Environmental provisions to promote green economy measures and to limit the excessive use of natural resources|http://climate-laws.org/geographies/italy/laws/law-221-of-28-december-2015-on-environmental-provisions-to-promote-green-economy-measures-and-to-limit-the-excessive-use-of-natural-resources,Energy Charter Treaty|,Industry,Rockhopper Exploration Plc et al|corporation,Government of Italy|government,"",14/04/2017|Notice of Arbitration||;26/06/2019|Interim decision on intra-EU dispute||,"In 2015 the Italian Parliament re-introduced a ban on oil and gas exploration within 12 miles of the Italian coastline. The ban had previously been introduced in 2010 but revoked in 2012. In 2017, UK company Rockhopper Exploration Plc, along with its Italian subsidiary, filed a claim for compensation alleging violations of the investor protection provisions of the Energy Charter Treaty. The claim concerned its interests in the Ombrina Mare oil field, for which it was hoping to obtain a production concession from the Italian Government prior to the introduction of the ban. The company is claiming compensation both for funds spent and for anticipated profits, which may run to USD $200-300 million."
7529,Greentech and Novenergia v. Italy,International,INT,Stockholm Chamber of Commerce,,Mitigation,Claims arising out of a series of governmental decrees to prematurely cut tariff incentives for photovoltaic plants.,"Law no. 116, ratifying with amendments the Law Decree no. 91 of 24 June 2014 on 'Urgent provisions for the agricultural sector, environment, company development and, inter alia, reduction of energy bills'|http://climate-laws.org/geographies/italy/laws/law-no-116-ratifying-with-amendments-the-law-decree-no-91-of-24-june-2014-on-urgent-provisions-for-the-agricultural-sector-environment-company-development-and-inter-alia-reduction-of-energy-bills",Energy Charter Treaty|,Energy,reentech and Novenergia|corporation,Italy|government,"",01/01/2015|Filing;23/12/2018|Award issued,"In 2015, two companies based in Denmark and Luxembourg invested in photovoltaic (PV) plants across Italy. The plants benefited from a feed-in tariff scheme, which was originally intended to run for a period of 20 years from each PV plant's connection to the grid. In 2015, a new Decree Law came into force which modified the amount and duration of incentive tariffs. The claimants alleged that this constituted a violation of the fair and equal treatment clause of the Energy Charter Treaty and claimed compensation.&nbsp;<br><br></div><div>In 2018 the Arbitral Tribunal found that Italy had breached the relevant provisions of the Charter and awarded the companies compensation of $13.6 million."
7530,Eskosol v. Italy,International,INT,International Centre for Settlement of Investment Disputes,ICSID Case No. ARB/15/50,Mitigation,Claims arising out of a series of governmental decrees to cut tariff incentives for some solar power projects.,"",Energy Charter Treaty|,Energy,Eskosol|corporation,Italy|government,"",01/01/2015|Filing;04/09/2020|Decision,"In 2015 Belgian company Eskosol filed a claim under the fair and equal treatment provisions of the Energy Charter Treaty against Italy, arising from Italy's changes to its incentive scheme for renewable energy. According to the claimant, two State measures adopted in March and May 2011 (the Romani Decree and the Fourth Energy Account) rendered its photovoltaic project unviable and led to the company’s bankruptcy.&nbsp;<br><br></div><div>The claim was dismissed by the Tribunal on the basis that although Eskosol had obtained land rights for the development of solar PV installations these had not become operational prior to the changes to the scheme due to the company's inability to obtain financing. The company could not therefore claim to have a legitimate expectation of continuing to benefit from the scheme."
7531,CEF Energia v. Italy,International,INT,Stockholm Chamber of Commerce,SCC Case No. 158/2015,Mitigation,Claims arising out of a series of governmental decrees to cut tariff incentives for some solar power projects.,"",Energy Charter Treaty|,Energy,CEF Energia|corporation,Italy|government,"",01/01/2015|Filing;16/01/2019|Decision,"CEF Energia, a Dutch company, filed a claim against the Italian government arising out of changes to Italy's incentive schemes for renewable energy. The company had invested in three solar energy installations in Italy under the terms of the earlier version of the scheme. The company alleged that the changes to the scheme violated the fair and equal treatment provisions of the Energy Charter Treaty. Despite Italy's claims that the company's own due diligence reports showed that it was aware of the potential for changes to the scheme, the majority of the tribunal held that Italy's actions had breached a legitimate expectation on the part of the company and awarded the company USD $10.7 million in damages."
7532,9REN Holding v. Spain,International,INT,International Centre for Settlement of Investment Disputes,ICSID Case No. ARB/15/15,Mitigation,"Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy&nbsp;","",Energy Charter Treaty|,Energy,9REN Holding|corporation,Spain|government,"",01/03/2015|Notice of Arbitration;31/05/2019|Decision,"In March 2015, 9REN filed a claim against Spain alleging a violation of the fair and equal treatment provisions of the Energy Charter Treaty by the Government of Spain. The claim arose as a result of measures, implemented in 2010, which introduced a number of changes to a previous incentive regime for renewable energy established in 2007, and included a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers.&nbsp;<br><br></div><div>The Tribunal awarded the company damages of nearly USD $50 million.<br><br>"
7533,Isolux v. Spain,International,INT,Stockholm Chamber of Commerce,,Mitigation,"Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers.","",Energy Charter Treaty|,Energy,Isolux|corporation,Spain|government,"",01/10/2013|Notice of Arbitration;12/07/2016|Final Decision,"In October 2013, Isolux filed a claim against Spain alleging a violation of the fair and equal treatment provisions of the Energy treaty Charter by the Government of Spain. The claim arose as a result of measures, implemented in 2010, which introduced a number of changes to a previous incentive regime for renewable energy established in 2007, and included a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers. In 2019, the tribunal found that because Isolux suffered no severe or radical loss, Spain did not expropriate its investment."
7534,Uniper v. Netherlands,International,INT,International Centre for Settlement of Investment Disputes,ICSID Case No. ARB/21/22,Mitigation,Whether the Netherlands' plan to phase out coal by 2030 violates the Energy Charter Treaty.,Law prohibiting coal in electricity production|http://climate-laws.org/geographies/netherlands/laws/law-prohibiting-coal-in-electricity-production,Energy Charter Treaty|,Energy;Industry,Uniper|corporation,Netherlands|government,"",30/04/2021|Notice of Arbitration,"On April 30, 2021, German energy company Uniper filed a dispute against the government of the Netherlands alleging that the government's plan to phase out coal by 2030 violates the Energy Charter Treaty. More information will be added as it becomes available."
7535,Lone Pine v Canada,International,INT,International Centre for Settlement of Investment Disputes,ICSID Case No. UNCT/15/2,Mitigation,Claims arising out of the revocation by the Government of Quebec of claimant's permits for petroleum and natural gas exploration in the Utica shale gas basin.,"","",Energy;Industry,Lone Pine Resources|corporation,Canada|government,"",06/09/2013|Notice of Arbitration,"In 2013, Lone Pine Resources, a company headquartered in Canada but registered in the US, brought a claim alleging breaches of Article 117 of NAFTA caused by the ""the arbitrary, capricious, and illegal revocation of the Enterprise’s valuable right to mine for oil and gas under the St. Lawrence River."" This followed the Quebec Government's revocation of all permits for oil and gas exploration in the St lawrence River Basin, which was associated with a moratorium on fracking. The company is seeking compensation both for monies already invested and for anticipated future profits."
7551,Eco Oro Minerals Corp. v. Republic of Colombia,International,INT,International Centre for Settlement of Investment Disputes,ICSID Case No. ARB/16/41,"","Claims arising out of a series of regulatory measures aimed at protecting the páramo ecosystem, affecting a company’s mining concession.","",Free Trade Agreement between Colombia and Canada|https://www.international.gc.ca/trade-commerce/trade-agreements-accords-commerciaux/agr-acc/colombia-colombie/fta-ale/background-contexte.aspx?lang=eng,Environment;Industry;Other,Eco Oro Minerals Corp|corporation,Colombia|government,"",25/12/2016|Filing||;09/09/2021|Granted||,"In 2016, Canadian mining company Eco Oro filed a claim for compensation against Colombia after a series of regulatory measures undertaken by the government to protect the páramo ecosystem. The company alleged that the measures deprived Eco Oro of its mining rights under a 2007 concession contract for the exploration and exploitation of precious metals and associated minerals. The company argued that Colombia breached its obligations under the Free Trade Agreement (FTA) through unlawful and indirect expropriation of its investment and for failing to accord the company’s investment the minimum standard of treatment. Eco Oro sought compensation in the amount of USD 696 million. The filing alleged that Colombia breached Article 811 of the FTA relating to expropriation, as well as multiple aspects of Article 805 relating to the customary international law minimum standard of treatment of aliens, including fair and equitable treatment and full protection and security.<br><br></div><div>On September 9, 2021, the tribunal found Colombia to be in breach of the FTA and Eco Oro entitled to damages. The tribunal decided that there was no breach of Article 811 as the regulatory measures protected a legitimate public welfare objective and were adopted in good faith. However, the tribunal found Colombia to be in breach of Article 805 given the government’s delay in delimiting the Santurbán Páramo and its failure to comply with constitutional obligations to protect the ecosystem at the time of the company’s investment. The company had legitimate expectations to undertake the mining exploitation activities in its concession. The tribunal found Colombia’s conduct to be arbitrary and disproportionate, damaging Eco Oro without serving any apparent purpose. The tribunal concluded that Eco Oro is entitled to damages, which will be decided on a later date upon further input from the parties."
7578,The Planet v. Bolsonaro,International,INT,International Criminal Court,"",Adaptation;Mitigation,Whether Brazilian President Bolsonaro committed crimes against humanity through damage and destruction to the Amazon rainforest.,"","",LULUCF,All Rise|ngo,Bolsonaro and others|government,"",12/10/2021|Case filed||,"On October 12th, 2021, the NGO All Rise filed a communication to the Office of the Prosecutor of the International Criminal Court (ICC) requesting an investigation into Brazilian President Jair Messias Bolsonaro for his role in Crimes Against Humanity resulting from ongoing deforestation and related activities in the Amazon rainforest. The communication was filed under Article 15 of the Rome Statute of the ICC, which allows the Prosecutor to make a request to the Pre-Trial Chamber to authorize an investigation into crimes within the jurisdiction of the court on the basis of information received from third parties.<br><br></div><div><br></div><div>The communication alleges that President Bolsonaro has promoted and facilitated a “widespread attack” on the Amazon Biome and “those who defend and depend upon it” which represents “a clear and extant threat to humanity itself.” The complaint argues that global climate security is dependent on the Amazon and its key role in regulating global temperatures and weather patterns, and that the “severe damage to the functions of the Amazon Biome caused by deforestation, conversion of deforested land to cattle ranching, and vast intentional forest fires” has disrupted this critical ecosystem turning it from a carbon sink to a carbon source.<br><br></div><div><br></div><div>The communication argues that through damage and destruction to the rainforest President Bolsonaro’s administration has inflicted, continues to inflict, and foreseeably risks inflicting “profound suffering and loss of life on local, regional and global populations alike.” It emphasizes that this is particularly true in the case of local populations living in the Amazon. These local populations are described in the complaint at “Environmental Dependents and Defenders.” The complaint argues that these populations are the victims of ongoing and intentional persecution by the Brazilian government, conducted in furtherance of a state policy, that amount to crimes against humanity contrary to Article 7 and Article 25(3)c) of the Rome Statute. It argues that since the Brazilian authorities are unable to carry out proceedings against Mr. Bolsonaro and his collaborators, the complaint should be admissible before the ICC under Article 17 of the Rome Statute.<br><br>"
7580,Environmental Justice Australia (EJA) v. Australia,International,INT,UN Special Procedures,"",Mitigation,Whether Australia is violating human rights of young people by presenting inadequate Nationally Determined Contributions.&nbsp;,"",Paris Agreement|,Economy-wide,Five young people and Environmental Justice Australia|individual_ngo,Australia|government,"",25/10/2021|Case filed||,"On October 25, 2021, Environmental Justice Australia (EJA) submitted a complaint to the United Nations Special Rapporteur on Human Rights and the Environment, Special Rapporteur on the rights of Indigenous peoples, and Special Rapporteur on the rights of persons with disabilities over the Australian government’s inaction on climate change. The complaint was submitted on behalf of five young Australians aged between 14 and 24 years old. It relies on the particular climate vulnerability of young people, First Nations people and people with disabilities, as climate change exacerbates existing inequalities and directly undermines their health and cultural rights.<br><br></div><div>The complainants rely on the recently recognized right to a clean, healthy and sustainable environment by the U.N. Human Rights Council and the Paris Agreement’s acknowledgment that climate change is a human rights issue. The complainants assert that the Australian government is in breach of the Paris Agreement and multiple United Nations instruments, including the Convention on the Rights of the Child, the Convention on the Rights of Persons with Disabilities, and the United Nations Declaration on the Rights of Indigenous Peoples. It further relies on the Committee on the Rights of the Child’s recent decision in <a href=""http://climatecasechart.com/climate-change-litigation/non-us-case/sacchi-et-al-v-argentina-et-al/"">Sacchi v. Argentina</a>, noting the particular harms of climate change to children and the government’s heightened obligations. The potential rights violations include the right to health, life, family relations, adequate standard of living, education, freedom from any form of violence or exploitation and recreation and play, as well as the right to a healthy environment. The complainants also argue that the material contribution of Australia to climate harms violates the rights of First Nations peoples’ and disabled people as recognized in international law.&nbsp;<br><br></div><div>The complaints ask the Special Rapporteurs to seek explanation from Australia on (i) how the country’s climate inaction is consistent with the human rights obligations, (ii) how the current conduct is compatible with human rights of young Australians and a 1.5oC pathway, and (iii) how the current Nationally Determined Contribution has involved young people in Australia and whether the State will establish a permanent forum to include young people from impacted communities. The complaint further asks the Special Rapporteurs to urge Australia to set a 2030 target that is consistent with its human rights obligations.&nbsp;"
7586,Children’s Petition to the United Nations Secretary-General to Declare a Climate Emergency,International,INT,United Nations Secretary General,"",Disaster Risk Management;Mitigation,Whether the UN Secretary-General should declare a climate emergency.&nbsp;,"",Paris Agreement|;United Nations Convention on the Rights of the Child|,Disaster Risk Management (Drm),Youth Climate Activists|individual,"","",10/11/2021|Petition Submitted||,"On November 10, 2021, 14 youth climate activists from around the world (the same petitioners from <a href=""http://climatecasechart.com/climate-change-litigation/non-us-case/sacchi-et-al-v-argentina-et-al/"">Sacchi v. Argentina</a>) submitted a petition to United Nations (U.N.) Secretary-General António Guterres asking him to declare a climate emergency. The petitioners rely on the impacts of climate change on human rights, specifically the rights of children as recognized by the U.N. and its several agencies, including the recent decision of the Committee on the Rights of the Child. The petitioners call on the Secretary-General and the Inter-Agency Standing Committee (IASC) to declare a systemwide, Level 3 climate emergency at the U.N. The petitioners further encourage the IASC and the Chief Executives Board for Coordination (CEB) to mobilize a U.N. Comprehensive Response to the Climate Emergency and activate a crisis management team to oversee immediate and comprehensive global action on climate.&nbsp;<br><br></div><div><br></div><div>Declaring a Level 3 Emergency, the U.N.’s highest designation, would mean placing climate action at the top of the agenda for each U.N. agency. This would ensure that U.N. resources and personnel can be deployed rapidly to dispatch aid and scientific expertise to countries most vulnerable to climate disasters. It would also ensure that the U.N. can help countries meet their emission reduction pledges on an urgent, emergency basis. The petitioners assert that a U.N. Comprehensive Response to the Climate Emergency is necessary (i) as international human rights law requires states to mitigate greenhouse gas emissions that have transboundary effects, (ii) to address the fundamental inequities of climate change, and (iii) to provide a legal response to the youth and fulfil the U.N. Charter’s promise to protect succeeding generations.&nbsp;<br><br></div><div><br></div><div>According to the petitioners, the U.N.’s response to the COVID-19 pandemic provides the blueprint for climate action. In the face of the pandemic, the Secretary-General and the IASC mobilized a U.N. Comprehensive Response to the global health crisis and activated a U.N. Crisis Management Team. The petitioners argue that the climate emergency warrants a similar response as a threat as serious and urgent as the global pandemic.&nbsp;"
